1,1,1,1
4,4,4,4
15,15,15,15
50,50,50,50
99,99,98,98
5,6,8,8
19,20,28,27
58,63,75,75
92,93,76,78
29,27,63,60
73,77,89,90
69,70,45,43
64,80,91,90
71,64,41,43
67,85,90,91
68,53,41,39
64,91,89,88
68,38,45,48
67,89,91,93
67,45,40,35
63,91,89,83
69,39,44,58
67,89,91,90
66,45,40,40
63,91,89,89
70,41,45,46
66,89,92,91
65,44,37,39
64,90,86,88
70,42,53,46
66,90,92,92
65,42,37,38
64,90,87,86
70,42,51,51
66,90,92,91
65,42,35,38
64,90,85,87
71,42,55,51
65,90,91,92
65,41,39,36
65,90,88,87
71,43,48,51
65,90,91,92
65,41,38,35
66,90,87,86
71,43,49,53
64,90,91,92
64,42,39,37
67,90,87,87
70,43,49,50
63,90,91,92
65,43,38,35
67,91,88,84
69,40,47,56
63,87,91,91
65,48,40,40
67,93,89,89
69,34,45,45
63,84,92,90
65,57,37,41
68,90,87,90
69,41,49,42
63,89,92,90
66,43,37,41
68,91,86,91
68,39,51,40
63,88,92,88
67,48,37,46
67,92,88,92
67,36,46,37
63,86,92,85
68,52,38,53
67,92,88,92
66,36,47,36
63,85,91,86
69,54,40,51
66,92,89,92
66,37,44,35
64,87,90,86
70,50,43,53
66,92,91,92
65,37,39,38
64,86,88,87
70,53,47,50
65,92,93,91
65,36,35,38
65,87,86,88
70,51,52,46
65,92,93,91
65,35,35,38
65,86,85,86
70,53,54,51
64,92,91,93
65,38,39,34
66,88,87,85
70,48,49,54
64,91,93,91
65,38,34,38
67,88,85,88
70,47,55,47
63,91,90,92
65,40,41,35
67,89,89,85
70,46,45,54
63,92,91,92
65,36,40,37
68,88,89,88
69,48,45,47
63,91,90,90
66,39,42,41
68,90,91,90
68,43,41,41
63,90,89,88
67,43,43,47
68,91,91,92
67,39,40,36
63,88,89,86
68,47,45,51
67,91,91,91
66,39,39,38
63,87,87,88
69,49,48,47
67,92,93,92
66,37,34,36
63,87,83,85
70,49,59,55
66,93,90,92
65,34,42,36
63,83,90,85
70,58,42,54
66,89,90,92
65,42,40,36
64,90,89,85
71,42,46,55
65,89,92,92
65,43,37,37
64,91,86,86
71,41,51,52
65,89,92,92
65,44,36,36
65,91,85,86
70,39,55,52
64,88,90,92
65,46,41,37
66,91,90,87
70,40,43,50
64,88,90,92
65,47,42,37
67,91,91,86
70,38,39,52
63,87,88,91
65,49,47,39
67,93,92,89
69,35,37,44
63,85,87,91
65,54,48,39
67,92,92,88
69,38,36,46
63,87,85,91
66,48,53,38
68,93,92,88
68,34,38,48
63,83,86,92
67,59,51,37
68,91,93,87
67,40,33,50
62,89,82,92
68,45,60,38
68,91,90,88
66,38,41,46
62,86,89,91
70,52,43,41
67,92,90,90
66,35,41,40
63,86,90,88
70,52,43,48
66,92,90,93
65,37,41,34
64,87,88,84
71,49,46,55
66,92,92,91
65,37,36,38
64,85,85,87
70,53,55,51
66,91,92,91
65,38,37,38
64,87,87,87
71,49,50,49
65,92,92,93
65,38,36,35
66,88,87,85
70,47,50,54
64,91,92,92
65,38,37,35
66,87,86,85
70,50,52,55
64,91,91,90
64,39,38,41
67,89,88,90
70,45,47,41
63,91,92,90
65,40,35,41
67,88,85,90
70,47,53,43
63,91,91,89
65,40,39,43
68,89,89,90
69,44,46,41
63,89,90,89
66,43,40,44
68,91,89,92
68,39,44,36
62,87,91,85
67,49,39,54
68,92,89,93
67,36,45,35
62,85,90,84
69,54,43,55
67,92,91,92
66,37,39,36
63,86,88,86
70,51,47,52
67,92,91,93
