1,1,1,1
4,4,4,4
15,15,15,15
50,50,51,50
99,98,99,99
5,6,4,5
19,21,16,18
59,65,56,59
94,91,97,94
23,30,16,23
67,77,57,68
83,73,92,85
52,70,36,51
87,84,89,95
44,51,39,26
89,96,92,79
37,21,31,56
86,71,85,94
46,71,50,29
89,85,95,84
38,48,25,48
89,96,80,96
37,22,56,21
83,73,93,70
52,70,34,74
89,84,90,79
37,48,37,56
89,95,90,95
38,25,36,24
85,77,89,76
48,64,41,66
91,91,94,89
32,31,26,37
82,85,79,89
54,51,63,43
89,95,92,93
37,24,32,29
86,76,86,82
46,64,47,55
90,90,96,95
33,35,19,23
84,87,68,74
50,46,75,69
89,95,77,87
36,24,59,43
87,76,93,94
42,63,30,28
87,89,85,82
43,39,49,54
91,92,96,96
31,28,20,20
78,80,68,69
63,63,80,78
82,89,70,71
55,44,75,72
87,93,78,81
42,30,60,55
88,85,92,95
40,48,32,24
90,96,88,78
34,21,40,59
82,70,91,92
55,74,38,37
87,79,91,90
43,60,35,37
92,94,91,92
29,23,31,30
76,72,83,80
67,76,59,64
77,74,90,86
63,71,43,51
79,81,92,92
58,61,37,37
82,90,89,89
53,40,43,43
85,92,93,93
47,34,32,32
87,89,86,87
42,39,46,44
90,92,96,95
33,30,20,22
82,83,69,73
54,55,76,70
88,95,77,83
42,27,60,51
90,80,92,96
34,53,30,20
82,94,82,69
55,32,58,75
88,86,93,78
41,45,30,59
90,95,84,93
33,23,47,27
82,73,94,79
56,71,33,63
88,83,87,91
41,51,43,34
90,96,94,90
35,21,27,36
84,71,79,88
50,73,60,43
90,82,93,95
35,51,29,23
86,95,82,74
46,27,54,67
89,81,95,88
39,54,25,41
90,95,78,93
35,24,59,29
81,74,92,82
56,69,39,58
87,85,91,94
43,48,35,30
91,96,90,85
31,20,34,44
79,68,86,92
61,79,52,38
84,72,95,90
50,72,29,40
89,82,83,94
38,52,50,28
88,96,96,82
39,23,23,53
86,75,75,96
44,64,66,25
89,90,89,78
37,35,39,58
87,89,92,94
42,39,33,28
88,92,87,82
41,33,44,53
89,89,96,96
36,39,22,22
85,92,73,73
48,36,69,70
89,90,85,86
37,37,46,45
89,91,96,95
38,34,22,25
84,87,73,76
50,46,69,65
91,96,86,89
33,21,43,37
84,71,94,90
50,72,31,39
90,83,85,93
36,50,46,28
86,95,94,82
45,26,28,54
89,79,83,95
39,57,51,26
89,95,95,80
35,23,23,56
82,74,73,93
56,70,71,35
88,83,83,89
41,51,51,39
91,97,97,94
32,18,18,25
81,66,66,77
58,79,78,67
86,71,73,86
44,70,69,45
90,85,87,96
34,47,42,21
84,94,93,71
49,30,32,71
89,85,87,83
37,47,43,50
87,96,94,95
41,24,29,25
86,76,83,78
45,64,53,62
92,92,96,93
29,28,19,27
77,80,65,78
66,65,84,67
79,87,60,85
61,49,85,54
82,93,60,93
53,33,83,34
85,86,65,87
48,48,77,46
89,95,76,96
37,25,62,22
86,77,91,73
46,62,36,68
90,93,91,88
35,29,34,40
86,82,87,91
46,54,45,36
89,95,94,91
39,26,27,35
89,81,81,89
37,53,53,39
83,94,94,90
54,32,31,41
89,87,86,94
37,42,44,27
88,94,95,82
40,27,26,54
87,80,79,96
44,57,59,25
91,95,94,79
33,24,25,55
82,74,76,92
56,71,68,36
88,84,87,91
42,50,44,36
90,97,94,92
34,19,25,31
83,67,77,84
54,76,65,53
89,76,89,96
39,62,39,23
89,91,93,75
37,33,30,63
85,87,83,90
49,47,54,39
90,96,95,93
34,21,23,29
85,72,73,82
49,70,68,55
